indicador,situacion_jornada,sexo,periodo,valor
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2025,270.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2024,255.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2023,246.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2022,234.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2021,222.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2020,200.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2019,219.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2018,214.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2017,203.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2016,194.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2015,184.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2014,189.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2013,164.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2012,160.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Total,2011,150.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2025,164.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2024,152.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2023,148.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2022,135.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2021,124.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2020,121.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2019,130.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2018,124.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Hombres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2025,105.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2024,102.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2023,98.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2022,98.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2021,98.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2020,79.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2019,89.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2018,90.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,Mujeres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2025,38.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2024,35.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2023,36.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2022,42.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2021,34.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2020,31.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2019,25.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2018,21.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: No asalariados,Total,2017,23.0
