indicador,sexo,periodo,valor
1. Con empleo principal vinculado al deporte (En miles),Total,2025,270.2
1. Con empleo principal vinculado al deporte (En miles),Total,2024,255.0
1. Con empleo principal vinculado al deporte (En miles),Total,2023,246.7
1. Con empleo principal vinculado al deporte (En miles),Total,2022,234.6
1. Con empleo principal vinculado al deporte (En miles),Total,2021,222.9
1. Con empleo principal vinculado al deporte (En miles),Total,2020,200.8
1. Con empleo principal vinculado al deporte (En miles),Total,2019,219.9
1. Con empleo principal vinculado al deporte (En miles),Hombres,2025,164.5
1. Con empleo principal vinculado al deporte (En miles),Hombres,2024,152.6
1. Con empleo principal vinculado al deporte (En miles),Hombres,2023,148.3
1. Con empleo principal vinculado al deporte (En miles),Hombres,2022,135.6
1. Con empleo principal vinculado al deporte (En miles),Hombres,2021,124.6
1. Con empleo principal vinculado al deporte (En miles),Hombres,2020,121.2
1. Con empleo principal vinculado al deporte (En miles),Hombres,2019,130.4
1. Con empleo principal vinculado al deporte (En miles),Mujeres,2025,105.7
1. Con empleo principal vinculado al deporte (En miles),Mujeres,2024,102.4
1. Con empleo principal vinculado al deporte (En miles),Mujeres,2023,98.4
1. Con empleo principal vinculado al deporte (En miles),Mujeres,2022,98.9
1. Con empleo principal vinculado al deporte (En miles),Mujeres,2021,98.4
1. Con empleo principal vinculado al deporte (En miles),Mujeres,2020,79.6
1. Con empleo principal vinculado al deporte (En miles),Mujeres,2019,89.4
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Total,2025,254.4
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Total,2024,238.2
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Total,2023,227.9
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Total,2022,218.8
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Total,2021,206.7
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Total,2020,189.4
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Total,2019,204.0
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Hombres,2025,154.5
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Hombres,2024,142.4
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Hombres,2023,137.9
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Hombres,2022,127.1
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Hombres,2021,115.5
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Hombres,2020,116.0
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Hombres,2019,120.7
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Mujeres,2025,99.9
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Mujeres,2024,95.8
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Mujeres,2023,89.9
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Mujeres,2022,91.7
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Mujeres,2021,91.2
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Mujeres,2020,73.5
1.1. Con empleo principal vinculado al deporte y sin empleo secundario (En miles),Mujeres,2019,83.3
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Total,2025,15.8
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Total,2024,16.8
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Total,2023,18.9
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Total,2022,15.8
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Total,2021,16.2
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Total,2020,11.4
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Total,2019,15.8
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Hombres,2025,10.0
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Hombres,2024,10.2
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Hombres,2023,10.4
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Hombres,2022,8.5
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Hombres,2021,9.0
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Hombres,2020,5.3
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Hombres,2019,9.7
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Mujeres,2025,5.8
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Mujeres,2024,6.6
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Mujeres,2023,8.4
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Mujeres,2022,7.3
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Mujeres,2021,7.2
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Mujeres,2020,6.1
1.2. Con empleo principal vinculado al deporte y con empleo secundario (En miles),Mujeres,2019,6.1
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Total,2025,5.9
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Total,2024,8.2
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Total,2023,8.5
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Total,2022,5.3
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Total,2021,8.1
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Total,2020,
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Total,2019,6.1
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Hombres,2025,
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Hombres,2024,
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Hombres,2023,
1.3. Con empleo principal vinculado al deporte y con empleo secundario vinculado al deporte (En miles),Hombres,2022,
