indicador,situacion_jornada,periodo,valor
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2025-4T,294.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2025-3T,285.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2025-2T,246.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2025-1T,254.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2024-4T,252.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2024-3T,249.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2024-2T,264.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2024-1T,253.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2023-4T,240.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2023-3T,247.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2023-2T,253.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2023-1T,244.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2022-4T,246.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2022-3T,241.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2022-2T,221.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2022-1T,229.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2021-4T,227.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2021-3T,251.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2021-2T,221.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2021-1T,192.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2020-4T,207.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2020-3T,193.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2020-2T,182.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2020-1T,219.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2019-4T,223.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2019-3T,217.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2019-2T,211.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2019-1T,227.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2018-4T,224.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2018-3T,215.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2018-2T,205.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2018-1T,211.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2017-4T,204.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2017-3T,213.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2017-2T,200.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2017-1T,194.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),TOTAL,2016-4T,187.0
