Indicador;Sexo, grupo de edad y nivel de estudios;periodo;Total
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2025-1T hasta 2025-4T;270,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2024-4T hasta 2025-3T;259,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2024-3T hasta 2025-2T;250,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2024-2T hasta 2025-1T;255,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2024-1T hasta 2024-4T;255,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2023-4T hasta 2024-3T;252,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2023-3T hasta 2024-2T;251,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2023-2T hasta 2024-1T;248,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2023-1T hasta 2023-4T;246,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2022-4T hasta 2023-3T;248,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2022-3T hasta 2023-2T;246,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2022-2T hasta 2023-1T;238,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2022-1T hasta 2022-4T;234,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2021-4T hasta 2022-3T;229,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2021-3T hasta 2022-2T;232,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2021-2T hasta 2022-1T;232,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2021-1T hasta 2021-4T;222,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2020-4T hasta 2021-3T;218,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2020-3T hasta 2021-2T;203,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2020-2T hasta 2021-1T;194,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2020-1T hasta 2020-4T;200,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2019-4T hasta 2020-3T;204,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2019-3T hasta 2020-2T;210,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2019-2T hasta 2020-1T;217,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2019-1T hasta 2019-4T;219,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2018-4T hasta 2019-3T;220,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2018-3T hasta 2019-2T;219,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2018-2T hasta 2019-1T;218,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2018-1T hasta 2018-4T;214,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2017-4T hasta 2018-3T;209,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2017-3T hasta 2018-2T;208,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2017-2T hasta 2018-1T;207,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2017-1T hasta 2017-4T;203,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2016-4T hasta 2017-3T;199,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2016-3T hasta 2017-2T;194,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2016-2T hasta 2017-1T;194,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2016-1T hasta 2016-4T;194,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2015-4T hasta 2016-3T;192,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2015-3T hasta 2016-2T;189,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2015-2T hasta 2016-1T;186,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2015-1T hasta 2015-4T;184,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;De 2014-4T hasta 2015-3T;187,0
