Indicador;Sexo, grupo de edad y nivel de estudios;periodo;Total
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2025;270,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2024;255,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2023;246,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2022;234,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2021;222,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2020;200,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2019;219,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2018;214,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2017;203,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2016;194,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2015;184,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2014;189,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2013;164,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2012;160,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);TOTAL;2011;150,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2025;164,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2024;152,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2023;148,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2022;135,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2021;124,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2020;121,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2019;130,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2018;124,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2017;119,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2016;118,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2015;106,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2014;102,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2013;90,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2012;94,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Hombres;2011;93,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2025;105,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2024;102,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2023;98,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2022;98,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2021;98,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2020;79,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2019;89,4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2018;90,0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2017;83,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2016;75,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2015;78,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2014;86,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2013;73,7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2012;66,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);Mujeres;2011;57,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2025;77,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2024;72,3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2023;67,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2022;52,5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2021;37,8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2020;31,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2019;43,6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2018;42,1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2017;37,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2016;36,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2015;32,9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2014;33,2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles);De 16 a 24 años;2013;30,8
